alpha,cd
-5.000000,0.007780
-4.850000,0.007700
-4.700000,0.007630
-4.550000,0.007550
-4.400000,0.007500
-4.250000,0.007410
-4.100000,0.007360
-3.950000,0.007290
-3.800000,0.007240
-3.650000,0.007170
-3.500000,0.007100
-3.350000,0.007050
-3.200000,0.006980
-3.050000,0.006940
-2.900000,0.006880
-2.750000,0.006810
-2.600000,0.006760
-2.450000,0.006720
-2.300000,0.006670
-2.150000,0.006620
-2.000000,0.006570
-1.850000,0.006530
-1.700000,0.006500
-1.550000,0.006460
-1.400000,0.006420
-1.250000,0.006390
-1.100000,0.006360
-0.950000,0.006350
-0.800000,0.006320
-0.650000,0.006300
-0.500000,0.006290
-0.350000,0.006290
-0.050000,0.006270
0.100000,0.006270
0.250000,0.006280
0.400000,0.006290
0.550000,0.006300
0.700000,0.006310
0.850000,0.006320
1.000000,0.006350
1.150000,0.006380
1.300000,0.006410
1.450000,0.006430
1.600000,0.006470
1.750000,0.006510
1.900000,0.006550
2.050000,0.006590
2.200000,0.006630
2.350000,0.006680
2.500000,0.006740
2.650000,0.006790
2.800000,0.006830
2.950000,0.006880
3.100000,0.006960
3.250000,0.007000
3.400000,0.007060
3.550000,0.007140
3.700000,0.007180
3.850000,0.007260
4.000000,0.007310
4.150000,0.007380
4.300000,0.007440
4.450000,0.007520
4.600000,0.007570
4.750000,0.007660
4.900000,0.007720
5.050000,0.007800
5.200000,0.007870
5.350000,0.007940
5.500000,0.008040
5.650000,0.008110
5.800000,0.008200
5.950000,0.008290
6.100000,0.008370
6.250000,0.008480
6.400000,0.008590
6.550000,0.008680
6.700000,0.008780
6.850000,0.008910
7.000000,0.009020
7.150000,0.009130
7.300000,0.009260
7.450000,0.009400
7.600000,0.009540
7.750000,0.009670
7.900000,0.009820
8.050000,0.009970
8.200000,0.010150
8.350000,0.010310
8.500000,0.010460
8.650000,0.010630
8.800000,0.010810
8.950000,0.011010
9.100000,0.011200
9.250000,0.011370
9.400000,0.011560
9.550000,0.011760
9.700000,0.011960
9.850000,0.012170
10.000000,0.012370
10.150000,0.012580
10.300000,0.012760
10.450000,0.012960
10.600000,0.013160
10.750000,0.013370
10.900000,0.013600
11.050000,0.013840
11.200000,0.014090
11.350000,0.014350
11.500000,0.014620
11.650000,0.014880
11.800000,0.015130
11.950000,0.015390
12.100000,0.015660
12.250000,0.015950
12.400000,0.016240
12.550000,0.016550
12.700000,0.016870
12.850000,0.017200
13.000000,0.017550
13.150000,0.017920
13.300000,0.018310
13.450000,0.018720
13.600000,0.019130
13.750000,0.019500
13.900000,0.019880
14.050000,0.020290
14.200000,0.020730
14.350000,0.021210
14.500000,0.021720
14.650000,0.022260
14.800000,0.022850
14.950000,0.023490
15.100000,0.024180
15.250000,0.024920
15.400000,0.025740
15.550000,0.026630
15.700000,0.027600
15.850000,0.028660
16.000000,0.029830
16.150000,0.031120
16.300000,0.032520
16.450000,0.034100
16.600000,0.035800
16.750000,0.037730
16.900000,0.039810
17.050000,0.042140
17.200000,0.044770
17.350000,0.047580
17.500000,0.050630
17.650000,0.053850
17.800000,0.057380
17.950000,0.061260
18.100000,0.065540
18.250000,0.070150
18.400000,0.075170
18.550000,0.080720
18.700000,0.086860
18.850000,0.092940
19.000000,0.099350
19.150000,0.106220
19.300000,0.113180
19.450000,0.120620
19.600000,0.128230
19.750000,0.135670
19.900000,0.143000
20.050000,0.150250
20.200000,0.157210
20.350000,0.163680
20.500000,0.169100
20.650000,0.175200
20.800000,0.179970
20.950000,0.185560
21.100000,0.189840
21.250000,0.195010
21.400000,0.199010
21.550000,0.203540
21.700000,0.207560
21.850000,0.210990
22.000000,0.214620
22.150000,0.218510
22.300000,0.221770
22.450000,0.225130
22.600000,0.229440
22.750000,0.232840
22.900000,0.237180
23.050000,0.241350
