alpha,cl
-5.000000,-0.567000
-4.850000,-0.550200
-4.700000,-0.533400
-4.550000,-0.516600
-4.400000,-0.499700
-4.250000,-0.483000
-4.100000,-0.466000
-3.950000,-0.449200
-3.800000,-0.432200
-3.650000,-0.415400
-3.500000,-0.398400
-3.350000,-0.381400
-3.200000,-0.364500
-3.050000,-0.347400
-2.900000,-0.330500
-2.750000,-0.313600
-2.600000,-0.296600
-2.450000,-0.279400
-2.300000,-0.262500
-2.150000,-0.245500
-2.000000,-0.228400
-1.850000,-0.211300
-1.700000,-0.194200
-1.550000,-0.177200
-1.400000,-0.160100
-1.250000,-0.142900
-1.100000,-0.125800
-0.950000,-0.108600
-0.800000,-0.091500
-0.650000,-0.074300
-0.500000,-0.057200
-0.350000,-0.040000
-0.050000,-0.005700
0.100000,0.011500
0.250000,0.028700
0.400000,0.045700
0.550000,0.063000
0.700000,0.080100
0.850000,0.097300
1.000000,0.114400
1.150000,0.131500
1.300000,0.148600
1.450000,0.165800
1.600000,0.182900
1.750000,0.200000
1.900000,0.217000
2.050000,0.234100
2.200000,0.251200
2.350000,0.268200
2.500000,0.285200
2.650000,0.302200
2.800000,0.319200
2.950000,0.336200
3.100000,0.353200
3.250000,0.370200
3.400000,0.387200
3.550000,0.404000
3.700000,0.421100
3.850000,0.437900
4.000000,0.454900
4.150000,0.471700
4.300000,0.488600
4.450000,0.505400
4.600000,0.522300
4.750000,0.539000
4.900000,0.555800
5.050000,0.572500
5.200000,0.589400
5.350000,0.606000
5.500000,0.622500
5.650000,0.639300
5.800000,0.655800
5.950000,0.672300
6.100000,0.688800
6.250000,0.705100
6.400000,0.721500
6.550000,0.737700
6.700000,0.754100
6.850000,0.770100
7.000000,0.786300
7.150000,0.802800
7.300000,0.819100
7.450000,0.835500
7.600000,0.852700
7.750000,0.870200
7.900000,0.887400
8.050000,0.905300
8.200000,0.924100
8.350000,0.942700
8.500000,0.960900
8.650000,0.978500
8.800000,0.997200
8.950000,1.016400
9.100000,1.035600
9.250000,1.054800
9.400000,1.073700
9.550000,1.092400
9.700000,1.111000
9.850000,1.127000
10.000000,1.140600
10.150000,1.154200
10.300000,1.168300
10.450000,1.182600
10.600000,1.197000
10.750000,1.211400
10.900000,1.225800
11.050000,1.240100
11.200000,1.254400
11.350000,1.268600
11.500000,1.282700
11.650000,1.297000
11.800000,1.311300
11.950000,1.325500
12.100000,1.339500
12.250000,1.353400
12.400000,1.367000
12.550000,1.380400
12.700000,1.393500
12.850000,1.406400
13.000000,1.418900
13.150000,1.431000
13.300000,1.442700
13.450000,1.453900
13.600000,1.464800
13.750000,1.475600
13.900000,1.484800
14.050000,1.493300
14.200000,1.501300
14.350000,1.509000
14.500000,1.516400
14.650000,1.523500
14.800000,1.530200
14.950000,1.536500
15.100000,1.542300
15.250000,1.547800
15.400000,1.552600
15.550000,1.557000
15.700000,1.561000
15.850000,1.564200
16.000000,1.566900
16.150000,1.569000
16.300000,1.570300
16.450000,1.570700
16.600000,1.570600
16.750000,1.569000
16.900000,1.566600
17.050000,1.563000
17.200000,1.557600
17.350000,1.551200
17.500000,1.543400
17.650000,1.535100
17.800000,1.524800
17.950000,1.512200
18.100000,1.497100
18.250000,1.480200
18.400000,1.460700
18.550000,1.438300
18.700000,1.412600
18.850000,1.387400
19.000000,1.360800
19.150000,1.332400
19.300000,1.303400
19.450000,1.273000
19.600000,1.242600
19.750000,1.213900
19.900000,1.187400
20.050000,1.162500
20.200000,1.140200
20.350000,1.121000
20.500000,1.107800
20.650000,1.092300
20.800000,1.083300
20.950000,1.071400
21.100000,1.065300
21.250000,1.055800
21.400000,1.051300
21.550000,1.045200
21.700000,1.041300
21.850000,1.039700
22.000000,1.037600
22.150000,1.034900
22.300000,1.034400
22.450000,1.033700
22.600000,1.030200
22.750000,1.029800
22.900000,1.026700
23.050000,1.024500
