alpha,ld_corrected
-5.000000,-84.622948
-4.850000,-82.683439
-4.700000,-80.847427
-4.550000,-78.704920
-4.400000,-76.567388
-4.250000,-74.624191
-4.100000,-72.415487
-3.950000,-70.316020
-3.800000,-67.949331
-3.650000,-65.859229
-3.500000,-63.552133
-3.350000,-60.998112
-3.200000,-58.911705
-3.050000,-56.307658
-2.750000,-51.435880
-2.600000,-49.015019
-2.450000,-46.244149
-2.300000,-43.775026
-2.150000,-41.117180
-2.000000,-38.495703
-1.850000,-35.723950
-1.700000,-32.934169
-1.550000,-30.241608
-1.400000,-27.389472
-1.250000,-24.535462
-0.950000,-18.722563
-0.800000,-15.850178
-0.500000,-9.911565
-0.350000,-6.961681
-0.050000,-0.979013
0.100000,1.989052
0.250000,4.980945
0.400000,7.986687
0.550000,10.921552
0.700000,13.940509
0.850000,16.839748
1.000000,19.710233
1.150000,22.609873
1.300000,25.533801
1.450000,28.321163
1.600000,31.148811
1.750000,33.974766
1.900000,36.570918
2.200000,41.938759
2.500000,47.204517
2.650000,49.816221
2.800000,52.288991
2.950000,54.746946
3.100000,57.158562
3.250000,59.663891
3.400000,61.909000
3.550000,64.362131
3.700000,66.444255
3.850000,68.843807
4.000000,70.978938
4.150000,73.205971
4.300000,75.280768
4.450000,77.212557
4.600000,79.470214
4.750000,81.458025
4.900000,83.179403
5.050000,85.348939
5.200000,87.253237
5.350000,88.867550
5.500000,90.841747
5.650000,92.524351
5.800000,94.050887
5.950000,95.821398
6.100000,97.568080
6.250000,99.131420
6.400000,100.403941
6.550000,101.929757
6.700000,103.431762
6.850000,104.614034
7.000000,105.907121
7.150000,107.190307
7.300000,108.450981
7.450000,109.528152
7.600000,110.448464
7.750000,111.336207
7.900000,112.351974
8.050000,113.348393
8.200000,114.179255
8.350000,114.968743
8.500000,115.342731
8.650000,115.814562
8.800000,116.416782
8.950000,117.005634
9.100000,117.559009
9.250000,117.833334
9.400000,117.952496
9.550000,117.911675
9.700000,117.792467
9.850000,117.744652
10.000000,117.780934
10.150000,117.887604
10.300000,117.906047
10.450000,117.800455
10.600000,117.567035
10.750000,117.384817
10.900000,116.965949
11.050000,116.534450
11.200000,116.100054
11.350000,115.671820
11.500000,115.279619
11.650000,114.847463
11.800000,114.445216
11.950000,113.860511
12.100000,113.385488
12.250000,112.738372
12.400000,112.009446
12.550000,111.127618
12.700000,110.269767
12.850000,109.354275
13.000000,108.378836
13.150000,107.432006
13.300000,106.519367
13.450000,105.632093
13.600000,104.775743
13.750000,103.935196
13.900000,103.042915
14.050000,102.103266
14.200000,101.114081
14.350000,100.086113
14.500000,99.017139
14.650000,97.841458
14.800000,96.698775
14.950000,95.443924
15.100000,94.134190
15.250000,92.719027
15.400000,91.229497
15.550000,89.602751
15.700000,87.891978
15.850000,86.125880
16.000000,84.260390
16.150000,82.313486
16.300000,80.219404
16.450000,78.094626
16.600000,75.952772
16.750000,73.666171
16.900000,71.336148
17.050000,69.083485
17.200000,66.788745
17.350000,64.507984
17.500000,62.124733
17.650000,59.739582
17.800000,57.251543
17.950000,54.823813
18.100000,52.325917
18.250000,49.844476
18.400000,47.342031
18.550000,44.888681
18.700000,42.428560
18.850000,40.037784
19.000000,37.680795
19.150000,35.364192
19.300000,33.107814
19.450000,30.965453
19.600000,28.824936
19.750000,26.822848
19.900000,24.847102
20.050000,22.975346
20.200000,21.231550
20.350000,19.480128
20.500000,17.942386
20.650000,16.386064
20.800000,14.949888
20.950000,13.665101
21.100000,12.381270
21.250000,11.317701
21.400000,10.380448
21.550000,9.330257
21.700000,8.576988
21.850000,7.915625
22.000000,7.325505
22.150000,6.823750
22.300000,6.403537
22.600000,5.848202
22.750000,5.592039
22.900000,5.360383
23.050000,5.254328
