flight_condition,blade_section,clcd_max,alpha_opt_deg,cl_at_opt,cd_at_opt
climb,mid_span,103.323699,9.400000,1.072500,0.010380
climb,root,90.822511,9.100000,1.049000,0.011550
climb,tip,112.995910,9.700000,1.105100,0.009780
cruise,mid_span,99.160777,9.700000,1.122500,0.011320
cruise,root,87.167530,8.650000,1.009400,0.011580
cruise,tip,108.685541,9.400000,1.074900,0.009890
descent,mid_span,101.165587,9.550000,1.093600,0.010810
descent,root,88.926458,9.100000,1.052000,0.011830
descent,tip,110.707364,10.000000,1.142500,0.010320
takeoff,mid_span,105.267686,9.700000,1.101100,0.010460
takeoff,root,92.892977,9.700000,1.111000,0.011960
takeoff,tip,114.839744,9.400000,1.074900,0.009360
