condition,section,Re,Mach,alpha_opt,CL_CD_max
climb,mid_span,4000000.000000,0.700000,9.400000,141.758946
climb,root,2200000.000000,0.700000,9.100000,124.607457
climb,tip,6200000.000000,0.700000,9.700000,155.029110
cruise,mid_span,3200000.000000,0.850000,9.700000,184.435300
cruise,root,1800000.000000,0.850000,8.650000,162.128313
cruise,tip,5000000.000000,0.850000,9.400000,202.151000
descent,mid_span,3600000.000000,0.750000,9.550000,149.857815
descent,root,2000000.000000,0.750000,9.100000,131.727844
descent,tip,5600000.000000,0.750000,10.000000,163.992165
takeoff,mid_span,4500000.000000,0.300000,9.700000,108.120986
takeoff,root,2500000.000000,0.300000,9.700000,95.410858
takeoff,tip,7000000.000000,0.300000,9.400000,117.952496
