condition,section,axial_velocity_m_s,tangential_velocity_m_s,inflow_angle_phi_deg,alpha_aero_deg,beta_mech_deg,delta_alpha_aero_deg,delta_beta_mech_deg
climb,mid_span,221.0000,314.1593,35.1250,9.4000,44.5250,-0.3000,-7.7864
climb,root,221.0000,157.0796,54.5960,9.1000,63.6960,0.4500,-6.4287
climb,tip,221.0000,471.2389,25.1255,9.7000,34.8255,0.3000,-6.0944
cruise,mid_span,289.0000,314.1593,42.6114,9.7000,52.3114,0.0000,0.0000
cruise,root,289.0000,157.0796,61.4747,8.6500,70.1247,0.0000,0.0000
cruise,tip,289.0000,471.2389,31.5198,9.4000,40.9198,0.0000,0.0000
descent,mid_span,255.0000,314.1593,39.0659,9.5500,48.6159,-0.1500,-3.6955
descent,root,255.0000,157.0796,58.3670,9.1000,67.4670,0.4500,-2.6577
descent,tip,255.0000,471.2389,28.4190,10.0000,38.4190,0.6000,-2.5008
takeoff,mid_span,85.0000,314.1593,15.1397,9.7000,24.8397,0.0000,-27.4718
takeoff,root,85.0000,157.0796,28.4190,9.7000,38.1190,1.0500,-32.0057
takeoff,tip,85.0000,471.2389,10.2248,9.4000,19.6248,0.0000,-21.2950
